"filename", "language", "C++", "Markdown", "Makefile", "comment", "blank", "total"
"/Users/glebdubinin/Documents/code/oop/oop-project/MarketData.cpp", "C++", 72, 0, 0, 7, 14, 93
"/Users/glebdubinin/Documents/code/oop/oop-project/MarketData.h", "C++", 24, 0, 0, 0, 10, 34
"/Users/glebdubinin/Documents/code/oop/oop-project/MarketState.h", "C++", 10, 0, 0, 0, 4, 14
"/Users/glebdubinin/Documents/code/oop/oop-project/Order.cpp", "C++", 26, 0, 0, 0, 6, 32
"/Users/glebdubinin/Documents/code/oop/oop-project/Order.h", "C++", 26, 0, 0, 1, 10, 37
"/Users/glebdubinin/Documents/code/oop/oop-project/OrderBook.cpp", "C++", 102, 0, 0, 23, 52, 177
"/Users/glebdubinin/Documents/code/oop/oop-project/OrderBook.h", "C++", 26, 0, 0, 0, 11, 37
"/Users/glebdubinin/Documents/code/oop/oop-project/OrderBookData/TradingSystemController.cpp", "C++", 0, 0, 0, 0, 1, 1
"/Users/glebdubinin/Documents/code/oop/oop-project/OrderList.h", "C++", 13, 0, 0, 0, 6, 19
"/Users/glebdubinin/Documents/code/oop/oop-project/README.md", "Markdown", 0, 5, 0, 0, 2, 7
"/Users/glebdubinin/Documents/code/oop/oop-project/StockData.h", "C++", 10, 0, 0, 2, 4, 16
"/Users/glebdubinin/Documents/code/oop/oop-project/Ticker.h", "C++", 6, 0, 0, 0, 4, 10
"/Users/glebdubinin/Documents/code/oop/oop-project/Trade.cpp", "C++", 33, 0, 0, 0, 12, 45
"/Users/glebdubinin/Documents/code/oop/oop-project/Trade.h", "C++", 29, 0, 0, 0, 14, 43
"/Users/glebdubinin/Documents/code/oop/oop-project/TradeForgeCLI.cpp", "C++", 80, 0, 0, 1, 17, 98
"/Users/glebdubinin/Documents/code/oop/oop-project/TradeForgeCLI.h", "C++", 16, 0, 0, 0, 9, 25
"/Users/glebdubinin/Documents/code/oop/oop-project/Trader.cpp", "C++", 61, 0, 0, 2, 15, 78
"/Users/glebdubinin/Documents/code/oop/oop-project/Trader.h", "C++", 29, 0, 0, 3, 9, 41
"/Users/glebdubinin/Documents/code/oop/oop-project/TradingBots.h", "C++", 16, 0, 0, 0, 8, 24
"/Users/glebdubinin/Documents/code/oop/oop-project/TradingPerson.h", "C++", 11, 0, 0, 0, 5, 16
"/Users/glebdubinin/Documents/code/oop/oop-project/TradingSystemController.cpp", "C++", 63, 0, 0, 4, 19, 86
"/Users/glebdubinin/Documents/code/oop/oop-project/TradingSystemController.h", "C++", 42, 0, 0, 7, 23, 72
"/Users/glebdubinin/Documents/code/oop/oop-project/main.cpp", "C++", 22, 0, 0, 1, 15, 38
"/Users/glebdubinin/Documents/code/oop/oop-project/makefile", "Makefile", 0, 0, 3, 0, 1, 4
"Total", "-", 717, 5, 3, 51, 271, 1047
